         1          1       4089
         1          1       8704
         1          1       9205
         1          1       9430
         1          1      12679
         1          1      12779
         1          1      18927
         1          1      19970
         2          2         38
         2          2       4639
         2          2       8799
         2          2      11264
         2          2      18299
         3          3       5104
         3          3       6056
         3          3      12219
         3          3      14469
         4          4         38
         4          4       4639
         4          4       8799
         4          4      11264
         4          4      18299
         5          5       2302
         5          5       8915
         5          5       9618
         5          5       9630
         5          5      10249
         6          6       4089
         6          6       5104
         6          6       9205
         6          6      12779
         6          6      19970
         7          7         38
         7          7       4639
         7          7       8799
         7          7      11264
         7          7      18299
         8          8         38
         8          8       4639
         8          8      11264
         8          8      18299
         9          9         38
         9          9       4639
         9          9       8799
         9          9      11264
         9          9      18299
        10         10         38
        10         10       1034
        10         10       4639
        10         10       6056
        10         10       8799
        10         10      11264
        10         10      18299
        11         11       5104
        11         11       6056
        11         11      12219
        11         11      12779
        11         11      14469
        11         11      19350
        12         12         38
        12         12       4639
        12         12       8799
        12         12      11264
        12         12      18299
        13         13       6056
        13         13      17679
        14         14         38
        14         14       4639
        14         14       8799
        14         14      11264
        14         14      18299
        15         15       1034
        15         15       6056
        15         15      12219
        16         16       1034
        16         16      12219
        16         16      17679
        17         17         38
        17         17       4639
        17         17       8799
        17         17      11264
        17         17      18299
        18         18         38
        18         18       4639
        18         18       8799
        18         18      11264
        18         18      18299
        19         19         38
        19         19       4639
        19         19      11264
        19         19      18299
        20         20         38
        20         20       4639
        20         20       8799
        20         20      11264
        20         20      18299
        21         21       1034
        21         21       6056
        21         21      12219
        21         21      17679
        22         22       4639
        22         22       8799
        22         22      18299
        23         23       5104
        23         23       6056
        23         23      12219
        23         23      12779
        23         23      14469
        23         23      19350
        24         24         38
        24         24       4639
        24         24       8799
        24         24      11264
        24         24      18299
        25         25         38
        25         25       4639
        25         25       8799
        25         25      11264
        25         25      18299
        26         26       5104
        26         26      12219
        26         26      14469
        27         27       1034
        27         27       4639
        27         27       8799
        27         27      11264
        27         27      12219
        27         27      17679
        27         27      18299
        28         28       4639
        28         28      11264
        28         28      15854
        28         28      16381
        29         29         38
        29         29       1034
        29         29       4639
        29         29       6056
        29         29       8799
        29         29      11264
        29         29      12219
        29         29      17679
        29         29      18299
